,District,VDC,Direction,Bedroom,Bathroom,Living,Parking_sqft,Road_size_ft,Land_sqft,Price
1182,Lalitpur,Imadol,East,7,4,2,85.0,13.0,342.24,32000000.0
1184,Lalitpur,Bhaisepati,East,6,5,2,,16.0,342.24,52500000.0
1186,Lalitpur,Bhaisepati,Select Direction,6,3,3,,13.0,1711.2,30000000.0
1188,Lalitpur,Bhaisepati,South East,5,6,2,,20.0,2395.68,
1190,Lalitpur,Bhaisepati,South East,6,5,2,,20.0,16427.52,39000000.0
1192,Lalitpur,Safaray Dhunga Height,North East,4,4,3,170.0,16.0,2053.44,50000000.0
1194,Lalitpur,Lubhu,South East,4,4,2,170.0,20.0,342.24,30000000.0
1196,Lalitpur,Imadol,North,7,5,1,,16.0,12320.64,39000000.0
1198,Lalitpur,Bhaisepati,East,4,3,1,,20.0,1026.72,32500000.0
1200,Lalitpur,Sanagau,South,7,4,2,,13.0,5475.84,32500000.0
1202,Lalitpur,Shital Height,South,5,4,1,,13.0,2053.44,63000000.0
1204,Lalitpur,Shital Height,South,6,4,1,,13.0,342.24,53500000.0
1206,Lalitpur,Shital Height,South,5,3,2,,13.0,1368.96,39500000.0
1208,Lalitpur,Shital Height,East,7,5,2,,13.0,8213.76,41000000.0
1210,Lalitpur,Shital Height,South,7,5,2,,13.0,5475.84,42000000.0
1212,Lalitpur,Shital Height,South,7,5,2,,13.0,1368.96,42500000.0
1214,Lalitpur,Shital Height,West,5,4,2,,13.0,1026.72,28000000.0
1216,Lalitpur,Shital Height,East,5,4,2,,13.0,10951.68,30000000.0
1218,Lalitpur,Bhaisepati,North,4,5,2,,13.0,1368.96,36500000.0
1220,Lalitpur,Shital Height,South East,5,undefined,2,170.0,16.0,1711.2,39000000.0
1222,Lalitpur,Imadol,West,8,4,2,170.0,20.0,1026.72,31000000.0
1224,Lalitpur,Bhaisepati,North,4,3,2,,16.0,1368.96,41000000.0
1226,Lalitpur,Imadol,South,8,4,2,,13.0,4106.88,33500000.0
1228,Lalitpur,Imadol,Select Direction,undefined,7,2,85.0,16.0,1026.72,25000000.0
1230,Lalitpur,Imadol,North East,5,3,2,,13.0,342.24,23000000.0
1232,Lalitpur,Imadol,North East,5,4,2,170.0,20.0,342.24,21000000.0
1234,Lalitpur,Nakhipot,East,5,4,1,170.0,20.0,1711.2,47500000.0
1236,Lalitpur,Nakhipot,North,6,2,2,85.0,13.0,10951.68,39000000.0
1238,Lalitpur,Tikathali,North,4,2,2,85.0,13.0,5475.84,32500000.0
1240,Lalitpur,Tikathali,South,6,3,2,85.0,13.0,0.0,26500000.0
1242,Lalitpur,Tikathali,South,6,4,2,85.0,13.0,8213.76,31500000.0
1244,Lalitpur,Sanagaun,North,6,2,2,170.0,13.0,1026.72,26000000.0
1246,Lalitpur,Imadol,North,8,4,2,,13.0,2737.92,38500000.0
1248,Lalitpur,Tikathali,West,6,4,3,22.0,20.0,1368.96,35000000.0
1250,Lalitpur,Dhapakhel,South,4,5,2,85.0,10.0,1026.72,29500000.0
1252,Lalitpur,Sanagaun,South,5,4,2,,20.0,5475.84,33500000.0
1254,Lalitpur,Bhaisepati,East,undefined,undefined,undefined,85.0,20.0,342.24,35000000.0
1256,Lalitpur,Bhaisepati,Select Direction,4,3,2,,13.0,342.24,45000000.0
1260,Lalitpur,Tikathali,East,5,4,2,,13.0,1026.72,28500000.0
1262,Lalitpur,Bhaisepati,East,4,3,1,,13.0,2053.44,57500000.0
1264,Lalitpur,Imadol,South,6,5,2,,13.0,1368.96,42000000.0
1266,Lalitpur,Tauk,East,0,0,0,85.0,0.0,299.46,42500000.0
1270,Lalitpur,Bhaisepati,West,4,3,2,,13.0,342.24,45000000.0
1272,Lalitpur,Bhaisepati,East,4,3,2,,13.0,1711.2,50000000.0
1274,Lalitpur,Imadol,North West,6,5,2,,15.0,1026.72,21000000.0
1276,Lalitpur,Lamatar,South East,3,2,1,425.0,20.0,342.24,17500000.0
1278,Lalitpur,Sanagaun,Select Direction,7,4,2,85.0,13.0,1026.72,18500000.0
1280,Lalitpur,Bhaisepati,South,6,4,2,,13.0,1711.2,
1282,Lalitpur,Bhaisepati,South East,5,6,2,,13.0,2395.68,75000000.0
1284,Lalitpur,Sital Height,East,7,6,2,,26.0,6844.8,57500000.0
1286,Lalitpur,Imadol,West,7,5,2,,13.0,5475.84,37500000.0
1288,Lalitpur,Imadol,South,8,4,2,,13.0,4106.88,33500000.0
1290,Lalitpur,Sitalheight,East,4,3,2,,13.0,1026.72,24500000.0
1292,Lalitpur,Imadol,North,5,5,2,,13.0,2053.44,27000000.0
1294,Lalitpur,Tikathali,West,7,5,2,,13.0,12320.64,26500000.0
1296,Lalitpur,Tikathali,South,7,4,2,,13.0,16427.52,31000000.0
1298,Lalitpur,Tikathali,South East,8,6,2,,13.0,1026.72,26500000.0
1300,Lalitpur,Imadol,North East,6,4,2,,13.0,1026.72,25000000.0
1302,Lalitpur,Siddhipur,North,2,1,1,,13.0,1026.72,15500000.0
1304,Lalitpur,Imadol,North East,6,3,2,,13.0,4106.88,33500000.0
1306,Lalitpur,Bagdole,Select Direction,2,2,2,85.0,,1711.2,30000000.0
1308,Lalitpur,Imadol,East,8+,4,3,,13.0,342.24,30000000.0
1310,Lalitpur,Harisiddhi,West,6,5,1,425.0,13.0,149.73,43500000.0
1312,Lalitpur,Imadol,North,8,6,2,85.0,16.0,1026.72,24500000.0
1314,Lalitpur,Imadol,West,5,4,2,,13.0,342.24,42000000.0
1316,Lalitpur,Imadol,West,6,5,2,,13.0,4106.88,30000000.0
1318,Lalitpur,Lubhu,East,5,4,2,,16.0,4106.88,22000000.0
1320,Lalitpur,Imadol,East,6,5,2,170.0,16.0,8213.76,29000000.0
1322,Lalitpur,Dhapakhel,South,6,4,3,425.0,20.0,342.24,49000000.0
1324,Lalitpur,Sanagaun,South,5,4,1,,13.0,4106.88,27000000.0
1326,Lalitpur,Imadol,West,5,4,1,,20.0,1711.2,55000000.0
1328,Lalitpur,Tikathali,North,5,5,2,,13.0,12320.64,29500000.0
1330,Lalitpur,Setipakha,East,6,4,2,,13.0,8213.76,35500000.0
1332,Lalitpur,Imadol,West,6,4,1,,13.0,12320.64,38500000.0
1336,Lalitpur,Tikathali,South,8,6,2,85.0,13.0,1026.72,25000000.0
1338,Lalitpur,Tikathali,East,6,4,2,85.0,13.0,2053.44,26900000.0
1340,Lalitpur,Imadol,South,5,3,1,85.0,13.0,1026.72,29000000.0
1342,Lalitpur,Dhobighat,East,7,4,1,85.0,12.0,577.53,39000000.0
1344,Lalitpur,Taukhel,West,0,0,0,85.0,20.0,1368.96,21000000.0
1346,Lalitpur,Bade Gaun,North West,4,3,1,85.0,13.0,1368.96,12500000.0
1348,Lalitpur,Bhaisepati,South,5,6,2,85.0,13.0,1711.2,55000000.0
1350,Lalitpur,Bhaisepati,South,6,4,2,425.0,13.0,1711.2,47000000.0
1352,Lalitpur,Sital Height,East,4,3,2,85.0,13.0,1026.72,24500000.0
1354,Lalitpur,Imadol,South,4,4,2,85.0,13.0,8213.76,22000000.0
1356,Lalitpur,Satdobato,South,4,4,undefined,85.0,13.0,1368.96,31500000.0
1358,Lalitpur,Taukhel,East,0,0,0,85.0,,1368.96,21000000.0
1360,Lalitpur,Thecho,North,0,0,0,22.0,13.0,1026.72,7000000.0
1362,Lalitpur,Imadol,South,5,3,1,85.0,13.0,1026.72,25000000.0
1364,Lalitpur,Nakhipot,East,4,4,2,170.0,20.0,1711.2,49000000.0
1366,Lalitpur,Tikathali,North,5,5,undefined,85.0,20.0,12320.64,29500000.0
1368,Lalitpur,Imadol,North,6,4,1,85.0,13.0,4106.88,31499000.0
1370,Lalitpur,Sital Height,West,5,6,2,170.0,14.0,1368.96,39500000.0
1372,Lalitpur,Imadol,North,5,4,2,85.0,13.0,4106.88,32000000.0
1374,Lalitpur,Dhapakhel,South,5,5,2,425.0,20.0,342.24,46000000.0
1376,Lalitpur,Taukhel,East,0,0,0,85.0,13.0,106.95,13000000.0
1378,Lalitpur,Imadol,East,7,4,2,170.0,13.0,1026.72,23500000.0
1380,Lalitpur,Imadol,North,5,5,2,85.0,13.0,8213.76,27000000.0
1382,Lalitpur,Tikathali,North,5,4,2,85.0,20.0,21.39,29900000.0
1384,Lalitpur,Imadol,North,5,4,2,85.0,13.0,342.24,35000000.0
1386,Lalitpur,Taukhel,South West,0,0,0,85.0,13.0,1197.84,25000000.0
1388,Lalitpur,Imadol,East,0,0,0,22.0,10.0,941.16,16500000.0
1390,Lalitpur,Imadol,East,0,0,0,22.0,16.0,834.21,17500000.0
1392,Lalitpur,Sital Hight Imadol,North,4,4,1,85.0,13.0,21.39,32500000.0
1394,Lalitpur,Tikathali,West,5,5,undefined,,13.0,12320.64,26500000.0
1396,Lalitpur,Hattiban,West,5,4,2,85.0,10.0,1026.72,27500000.0
1398,Lalitpur,Tikathali,Select Direction,8,6,2,170.0,,5475.84,39500000.0
1400,Lalitpur,Imadol,North East,undefined,3,2,170.0,13.0,21.39,25000000.0
1402,Lalitpur,Imadol,West,7,5,3,85.0,13.0,21.39,27500000.0
1404,Lalitpur,Tikathali,Select Direction,3,1,1,85.0,13.0,1026.72,17000000.0
1406,Lalitpur,Imadol,Select Direction,6,5,2,170.0,13.0,21.39,49500000.0
1408,Lalitpur,Imadol,North East,5,3,2,85.0,13.0,21.39,33500000.0
1410,Lalitpur,Tikathali,South,7,4,2,85.0,20.0,1026.72,26500000.0
1412,Lalitpur,Imadol,East,7,3,2,85.0,13.0,3080.16,42500000.0
1414,Lalitpur,Tikathali,East,7,5,2,85.0,20.0,21.39,28500000.0
1416,Lalitpur,Tika,West,5,2,1,170.0,13.0,21.39,26500000.0
1418,Lalitpur,Thaiba,North,3,undefined,undefined,85.0,13.0,1368.96,11000000.0
1420,Lalitpur,Satdobato,South East,4,4,1,85.0,13.0,21.39,30000000.0
1422,Lalitpur,Imadol,South,6,5,2,22.0,13.0,8213.76,29500000.0
1424,Lalitpur,Imadol,South,7,5,2,,13.0,1711.2,57000000.0
1426,Lalitpur,Imadol,North,5,4,3,85.0,13.0,2053.44,32500000.0
1428,Lalitpur,Lubhu,North West,5,4,2,170.0,16.0,342.24,42500000.0
1430,Lalitpur,Imadol,West,5,3,1,170.0,13.0,16427.52,47500000.0
1432,Lalitpur,Imadol,East,4,3,1,22.0,13.0,8213.76,32000000.0
1434,Lalitpur,Imadol,South,6,4,2,22.0,11.0,1026.72,29000000.0
1436,Lalitpur,Imadol,South,5,4,2,22.0,13.0,1026.72,28000000.0
1438,Lalitpur,Lamatar,East,5,4,1,85.0,13.0,1625.64,29000000.0
1440,Lalitpur,Imadol,West,6,4,1,22.0,13.0,8213.76,22500000.0
1442,Lalitpur,Ekantakuna,West,6,3,3,22.0,20.0,2053.44,39000000.0
1444,Lalitpur,Hattiban,Select Direction,5,4,2,85.0,12.0,1368.96,34500000.0
1446,Lalitpur,Sital Height,South,8,5,2,85.0,13.0,3080.16,32000000.0
1448,Lalitpur,Imadol,North East,6,5,2,22.0,20.0,2053.44,27000000.0
1450,Lalitpur,Sital Height,Select Direction,7,4,2,85.0,16.0,1026.72,27500000.0
1452,Lalitpur,Sanepa,Select Direction,undefined,5,undefined,22.0,20.0,5475.84,45000000.0
1454,Lalitpur,Sanagaun,South,3,5,3,22.0,13.0,342.24,37500000.0
1456,Lalitpur,Mahalaxmi,North,7,6,2,85.0,20.0,4106.88,31500000.0
1458,Lalitpur,Imadol,South,5,5,2,85.0,13.0,2737.92,41500000.0
1460,Lalitpur,Imadol,North,5,5,2,22.0,13.0,1026.72,31000000.0
1462,Lalitpur,Imadol,South,5,5,2,85.0,13.0,1026.72,26500000.0
1464,Lalitpur,Tikathali,North,5,4,2,22.0,13.0,1026.72,23000000.0
1466,Lalitpur,Guwarko,North,7,4,2,170.0,13.0,4106.88,31500000.0
1468,Lalitpur,Imadol,East,5,5,2,,13.0,8213.76,35500000.0
1470,Lalitpur,Imadol,East,4,4,1,,13.0,171.12,22000000.0
1472,Lalitpur,Imadol,South,5,4,2,22.0,,1711.2,57500000.0
1474,Lalitpur,Lubhu,South,5,5,2,850.0,13.0,8213.76,40000000.0
1476,Lalitpur,Imadol,East,5,4,2,22.0,13.0,1026.72,25000000.0
1478,Lalitpur,Tikathali,East,4,3,2,22.0,13.0,256.68,25500000.0
1480,Lalitpur,Imadol,South,6,5,2,85.0,16.0,342.24,37500000.0
1482,Lalitpur,Imadol,South,4,3,1,85.0,13.0,2737.92,41500000.0
1484,Lalitpur,Imadol,South,7,3,1,85.0,13.0,342.24,46500000.0
1486,Lalitpur,Imadol,North,10,6,1,85.0,13.0,1133.67,31500000.0
1488,Lalitpur,Harisiddhi,North,5,4,3,170.0,20.0,1026.72,27500000.0
1490,Lalitpur,Taukhel,East,1,1,1,85.0,16.0,6844.8,20000000.0
1492,Lalitpur,Mahalaxmi,West,7,6,2,22.0,20.0,1026.72,23000000.0
1494,Lalitpur,Imadol,North,4,3,2,85.0,15.0,876.99,18500000.0
1496,Lalitpur,Siddhipur,South East,8-12,4,3,85.0,16.0,1711.2,40000000.0
1498,Lalitpur,Kupondole,East,5,4,1,22.0,20.0,342.24,12000000.0
1500,Lalitpur,Harisiddhi,North,5,3,2,170.0,13.0,1026.72,29000000.0
1502,Lalitpur,Sanagaun,West,7,5,2,22.0,20.0,1026.72,23500000.0
1504,Lalitpur,Tikathali,West,6,5,3,85.0,13.0,2053.44,24000000.0
1506,Lalitpur,Dholahiti,West,5,4,1,425.0,20.0,6844.8,119900000.0
1508,Lalitpur,Godawari,South,5,4,1,85.0,30.0,1818.15,40000000.0
1510,Lalitpur,Khumaltar,North East,5,5,1,170.0,20.0,3422.4,72500000.0
1512,Lalitpur,Dholahiti,East,8-12,5,4,85.0,13.0,,49000000.0
1514,Lalitpur,Satdobato,South East,5,4,1,170.0,13.0,1368.96,31500000.0
1516,Lalitpur,"Imadol,Lalitpur",South,5,4,2,425.0,13.0,4106.88,30500000.0
1518,Lalitpur,Imadol,South,6,7,2,425.0,13.0,6844.8,55000000.0
1520,Lalitpur,Imadol,South West,6,5,4,85.0,16.0,6844.8,55000000.0
1522,Lalitpur,Imadol,West,5,4,2,85.0,13.0,4106.88,31000000.0
1524,Lalitpur,Lamatar,South,3,3,1,85.0,13.0,3080.16,17500000.0
1526,Lalitpur,Imadol,North,6,4,2,85.0,20.0,1026.72,30000000.0
1528,Lalitpur,"Setipakha,Imadol",West,4,4,2,85.0,13.0,1026.72,24000000.0
1530,Lalitpur,Harisiddhi,North East,5,4,2,85.0,13.0,12320.64,28500000.0
1532,Lalitpur,"Sitapakha,Imadol",South,5,4,3,85.0,13.0,1368.96,33500000.0
1534,Lalitpur,Harisiddhi,North,4,4,2,22.0,20.0,16427.52,28500000.0
1536,Lalitpur,"Imadol, Near Pawan Prakriti School",South,6,3,1,85.0,13.0,1368.96,22000000.0
1538,Lalitpur,"Ochu Height,Imadol",South,5,5,2,85.0,20.0,8213.76,35500000.0
1540,Lalitpur,Imadol,South East,5,3,1,22.0,13.0,1026.72,23500000.0
1542,Lalitpur,Jharuwarasi,East,1,1,1,22.0,10.0,342.24,8500000.0
1544,Lalitpur,Dhapakhel,East,4,2,1,85.0,16.0,342.24,32000000.0
1546,Lalitpur,Tikathali,East,4,3,1,22.0,13.0,8213.76,23000000.0
1548,Lalitpur,"Ochu Height,Imadol",West,5,6,1,85.0,14.0,1711.2,47000000.0
1550,Lalitpur,Shital Height,East,4,4,2,85.0,13.0,16427.52,23000000.0
1552,Lalitpur,"Imadol,Mahalaxmi",North,6,5,1,85.0,13.0,8213.76,29900000.0
1554,Lalitpur,"Imadol,Mahalaxmi",South,6,4,1,85.0,13.0,1026.72,28000000.0
1556,Lalitpur,Imadol,East,4,4,2,85.0,13.0,1026.72,27500000.0
1558,Lalitpur,Lmc,North,5,5,3,85.0,26.0,342.24,32500000.0
1560,Lalitpur,Lubhu,West,7,3,2,85.0,13.0,4106.88,20000000.0
1562,Lalitpur,Bhaisipati,North East,4,5,1,170.0,15.0,1368.96,35000000.0
1564,Lalitpur,Lubhu,East,5,4,1,170.0,18.0,1026.72,16500000.0
1566,Lalitpur,Nakhipot,North East,5,4,1,85.0,16.0,8213.76,27500000.0
1568,Lalitpur,Tikathali,North East,2,1,1,85.0,13.0,8213.76,18000000.0
1570,Lalitpur,Tikathali,East,5,3,2,85.0,11.0,3080.16,26000000.0
1572,Lalitpur,Dholahiti,South East,8-12,5,1,85.0,16.0,5475.84,42500000.0
1574,Lalitpur,"Sital Height, Imadol",South,6,5,2,85.0,13.0,1368.96,39500000.0
1576,Lalitpur,Shital Height,South West,4,3,2,85.0,13.0,8213.76,23500000.0
1578,Lalitpur,Imadol,South West,5,5,1,170.0,20.0,13689.6,48000000.0
1580,Lalitpur,Dhapakhel,North East,7,5,1,85.0,20.0,1368.96,31000000.0
1582,Lalitpur,Dhapakhel,North,6,3,3,85.0,13.0,1133.67,27500000.0
1584,Lalitpur,Imadol,South East,4,4,1,170.0,13.0,8213.76,21000000.0
1586,Lalitpur,"Bojhepokhari, Imadol",South East,5,5,1,85.0,13.0,16427.52,31000000.0
1588,Lalitpur,"Hattiban, Lalitpur",South,6,4,1,85.0,13.0,1368.96,39999000.0
1590,Lalitpur,"Lubhu,Mahalaxmi",North West,2,1,1,22.0,20.0,8213.76,17000000.0
1592,Lalitpur,Lalitpur,West,5,5,1,85.0,13.0,16427.52,45000000.0
1594,Lalitpur,Tikathali,North,6,5,3,85.0,10.0,10951.68,33000000.0
1596,Lalitpur,Setipakha,East,4,4,2,170.0,10.0,342.24,31000000.0
1598,Lalitpur,Changathali,South,2,1,1,85.0,13.0,8213.76,16000000.0
1600,Lalitpur,Dhapakhel,South,1,1,1,22.0,10.0,8213.76,12000000.0
1602,Lalitpur,Bhaisipati,East,6,3,2,85.0,13.0,1711.2,31000000.0
1604,Lalitpur,Imadol,East,5,3,2,85.0,13.0,12320.64,36500000.0
1606,Lalitpur,Sheetal Height,West,6,4,2,22.0,10.0,8213.76,15000000.0
1608,Lalitpur,Tikathali,North,5,3,3,85.0,13.0,8213.76,22000000.0
1610,Lalitpur,Shital Height,West,4,4,2,85.0,13.0,1026.72,27500000.0
1612,Lalitpur,Imadol,South,6,4,1,22.0,13.0,5475.84,42500000.0
1614,Lalitpur,Ansari Tole,South,2,2,3,22.0,13.0,19251.0,13000000.0
1616,Lalitpur,Lamatar,North East,5,2,10,22.0,20.0,278.07,14300000.0
1618,Lalitpur,Mahalaxmithan,North,6,3,9,170.0,,6160.32,155000000.0
1620,Lalitpur,Lele,North East,3,3,1,170.0,13.0,1368.96,27500000.0
1622,Lalitpur,Lubu,North East,5,2,8,85.0,13.0,898.38,16500000.0
1624,Lalitpur,Imadol,East,4,4,2,85.0,16.0,342.24,26800000.0
1626,Lalitpur,Ochu Height,East,5,3,9,22.0,13.0,941.16,19000000.0
1628,Lalitpur,Imadol,East,6,4,11,85.0,16.0,1283.4,30300000.0
1630,Lalitpur,Imadol,North,7,6,13+,85.0,18.0,1368.96,39500000.0
1632,Lalitpur,Imadol,East,6,4,11,85.0,13.0,1069.5,28000000.0
1634,Lalitpur,Tikathali,South,5,4,11,85.0,13.0,1026.72,22000000.0
1636,Lalitpur,Tilathali,South,2,1,1,85.0,10.0,1026.72,17500000.0
1638,Lalitpur,"Nakhu Dobato, Bagdol, Lalitpur",North,2,2,2,170.0,13.0,3764.64,40700000.0
1640,Lalitpur,"Imadol, Rajkulo",East,7,5,11,85.0,16.0,1368.96,32500000.0
1642,Lalitpur,Near New Millennium School,West,8-12,6,10,85.0,20.0,21390.0,22000000.0
1644,Lalitpur,Near Krishna Mandir Imadol,East,8-12,6,11,170.0,30.0,21.39,30000000.0
1646,Lalitpur,Near Krishna Mandir Imadol,East,7,4,11,170.0,30.0,21390.0,28000000.0
1648,Lalitpur,Near Ratomakai Gate,West,6,4,9,85.0,13.0,25668.0,26000000.0
1650,Lalitpur,Naya Basti,East,7,6,10,22.0,20.0,21390.0,27500000.0
1652,Lalitpur,Near Kist Hostital,East,7,6,11,170.0,13.0,27807.0,28500000.0
1654,Lalitpur,Hattiban Harisiddhi,North West,3,4,1,85.0,20.0,64.17,24000000.0
1656,Lalitpur,Imadol,East,4,3,1,22.0,6.0,1026.72,19000000.0
1658,Lalitpur,Ochuheight,East,5,5,1,22.0,,23529.0,27500000.0
1660,Lalitpur,Tikathali,East,5,4,1,85.0,13.0,1090.89,23500000.0
1662,Lalitpur,Jharuwarashi,South East,8-12,8-10,1,425.0,10.0,124361.46,100000000.0
1664,Lalitpur,Kupondole,North,6,3,11,170.0,,342.24,57000000.0
1666,Lalitpur,Changathali,South West,6,3,11,85.0,,342.24,25000000.0
1668,Lalitpur,Sanepa,East,3,2,5,85.0,,21.39,35000000.0
1670,Lalitpur,400M From Bhadrakali Petrol Pump Imadol,East,6,3,11,85.0,16.0,1026.72,22500000.0
1672,Lalitpur,Hattiban / 2 Minutes Drive From Ringroad.,North East,4,4,1,85.0,,1026.72,28000000.0
1674,Lalitpur,Beside Tikathali Water Tank,North West,6,4,10,170.0,13.0,342.24,31500000.0
1676,Lalitpur,Kusunti-13,West,6,5,9,85.0,,21390.0,45000000.0
1678,Lalitpur,Imadol,South West,3,4,7,85.0,10.0,22887.3,30750000.0
1680,Lalitpur,Bhaisepati,East,1,1,1,22.0,13.0,470.58,187000000.0
1682,Lalitpur,Bhaisepati,South,1,1,1,22.0,16.0,278.07,135000000.0
1684,Lalitpur,Chapagaun Thakhel,West,8-12,2,10,22.0,20.0,1946.49,35000000.0
1686,Lalitpur,Thasikhel,West,6,2,9,22.0,,1497.3,4000000.0
1688,Lalitpur,Dhapakhel,East,8-12,7,2,85.0,13.0,20534.4,35000000.0
1690,Lalitpur,"Nakhkhu, Nakhu",South West,4,5,6,425.0,13.0,342.24,36000000.0
1692,Lalitpur,Hattiban,South East,3,2,6,85.0,13.0,1026.72,20000000.0
1694,Lalitpur,Godawari,East,5,4,5,85.0,20.0,,39000000.0
1696,Lalitpur,"Lalitpur Dhapakhel-23,Dhapaheight",West,6,6,12,170.0,16.0,81282.0,41500000.0
1698,Lalitpur,600 Mtr From Highway,North,4,4,9,85.0,15.0,64.17,24500000.0
1700,Lalitpur,"Imadol,  Nayabasti",North,1,1,1,22.0,13.0,106.95,45000000.0
1702,Lalitpur,Tikathali Ansarichock,South,1,1,1,22.0,13.0,21.39,32500000.0
1704,Lalitpur,"Imadol, Lalitapur",West,1,1,1,22.0,,21.39,33000000.0
1706,Lalitpur,Bhaisepati,North,4,5,1,170.0,16.0,128.34,71500000.0
1708,Lalitpur,"Imadol, Lalitpur",East,1,1,1,22.0,16.0,64.17,25000000.0
1710,Lalitpur,600 Meters From Highway,North,1,1,1,22.0,,21.39,34500000.0
1712,Lalitpur,Bhaisepati,East,5,6,1,170.0,13.0,149.73,85000000.0
1714,Lalitpur,Bhaisepati,East,6,7,1,170.0,,171.12,140000000.0
1716,Lalitpur,"Bhaisepati, Lalitpur",South,5,5,1,170.0,,21.39,78000000.0
1718,Lalitpur,Bhaisepati,South West,5,5,1,22.0,,149.73,85000000.0
1720,Lalitpur,"Banglamukhi, Patan",East,3,2,1,22.0,,21.39,30000000.0
1722,Lalitpur,"Balkumari, Lalitpur",North East,3,6,13+,170.0,16.0,9582.72,66000000.0
1724,Lalitpur,Imadole,East,5,3,6,85.0,28.0,342.24,29500000.0
1726,Lalitpur,Dhapakhel,West,6,4,2,85.0,13.0,,29500000.0
1728,Lalitpur,Sanogau,East,6,4,9,170.0,16.0,1368.96,19000000.0
1730,Lalitpur,Bhaisepati,East,1,1,1,22.0,,106.95,50000000.0
1732,Lalitpur,Tikathali,South West,6,3,11,85.0,12.0,4106.88,26600000.0
1734,Lalitpur,Harisiddhi  Main Road,East,6,3,1,22.0,16.0,14973.0,25000000.0
1736,Lalitpur,Satdobato,East,8-12,6,1,425.0,16.0,3422.4,70000000.0
1738,Lalitpur,Godamchaur,South,8-12,6,15,425.0,13.0,256.68,29000000.0
1740,Lalitpur,Nakhipot Line,East,5,6,15,85.0,20.0,32085.0,57500000.0
1742,Lalitpur,"Sanep, Jhamsikhel",South East,6,5,7,170.0,10.0,1026.72,41000000.0
1744,Lalitpur,Hattiban,North,4,3,1,85.0,20.0,25668.0,50000000.0
1746,Lalitpur,Gwarko,East,8-12,6,15,170.0,10.0,2737.92,60000000.0
1748,Lalitpur,Kupondol Near Hanumanthan Mandir,East,5,8-10,1,425.0,20.0,1711.2,140000000.0
1750,Lalitpur,Imadol,North,5,4,9,170.0,13.0,1368.96,32500000.0
1752,Lalitpur,Imadol,North East,5,2,1,85.0,20.0,149.73,36000000.0
1754,Lalitpur,Imadol,South West,2,2,5,22.0,13.0,10695.0,16000000.0
1756,Lalitpur,"Imadol, Lalitpur",East,2,1,5,22.0,13.0,3080.16,16500000.0
1758,Lalitpur,Chokhel,East,8+,4,9,85.0,12.0,1711.2,33500000.0
1760,Lalitpur,Chokhel Sunakothi,East,8+,4,1,85.0,12.0,1711.2,33500000.0
1762,Lalitpur,Khumaltar,East,3,4,3,85.0,13.0,1219.23,36500000.0
1764,Lalitpur,Imadol,East,4,4,1,85.0,13.0,1026.72,23500000.0
1766,Lalitpur,Setipakha,East,1,1,1,22.0,,1368.96,31000000.0
1768,Lalitpur,Dhunge Shangu Imadol,North,6,3,1,85.0,,1026.72,23000000.0
1770,Lalitpur,Sanepa Sanchal,South,5,2,7,170.0,20.0,3080.16,75000000.0
1772,Lalitpur,Tikathali,South West,3,3,3,85.0,13.0,342.24,25000000.0
1774,Lalitpur,Imadol,East,2,2,1,85.0,13.0,1048.11,16000000.0
1776,Lalitpur,Lubhu,North East,7,5+,13+,255.0,16.0,2053.44,55000000.0
1778,Lalitpur,Tikathali  Pawan Prakriti Height,West,5,3,10,170.0,12.0,3422.4,26000000.0
1780,Lalitpur,"Imadol,Lalitpur",East,4,3,7,85.0,13.0,1026.72,23500000.0
1782,Lalitpur,Imadol,East,4,3,8,85.0,13.0,1026.72,20000000.0
1784,Lalitpur,Imadol,East,4,3,8,85.0,13.0,1026.72,22000000.0
1786,Lalitpur,Imadol Highway Near 50M,East,4,3,8,85.0,13.0,1026.72,24000000.0
1788,Lalitpur,"Imadol,Lalitpur",East,4,3,8,85.0,20.0,342.24,19500000.0
1790,Lalitpur,Lubhu Mahalaxmi Campus,East,5,3,8,85.0,13.0,21390.0,19000000.0
1792,Lalitpur,Satdobato,East,8+,3,2,22.0,6.0,1368.96,21000000.0
